respondent_id,response_text
141519,disparaging income versus the cost of living. Greed by CEOs and business owners of major corporations.
141521,Healthcare needs to be socialized
141522,hunger. Americans cannot afford food. people on social security aren't allowed to get food stamps but those are the ones who really need it people on welfare sell their food stamps for drugs I have known this to be true I have seen it with my own two eyes they are on drugs they squander their food stamps they don't need them they have babies just to get them they don't appreciate anything that's given to them while the people on social security are starving in their homes daily doing without trying to survive where is the help the people on social security need we are out here starving everyday trying to survive scratching for everybody to food we get we can't even get weak amir government supplement that is needed to help us live why do we not matter? 
141523,"economic, border"
141524,Abortion and the lack of Christian morals in our country.
141525,"Donald Trump, yet again, in the White House"
141526,Country is in the hands of billionaires
141527,After the election it definitely Donald Trump
141528,economy in the United States
141529,Democrats! too far out of touch with regular americans! spend way too much of our tax dollars on wasteful things!
141530,"Blind loyalty to party. No bipartisan agreement, only political theater. "
141531,social security
141532,immigration poses problem in that it is too many to try to support
141533,1. Campaign financibg
141534, Illegal Immigration
141536,Preserving the democracy
141537,"The economy, cost of housing, cost of medical care"
141538,SK
141539,"home ownership, Education, price gouging, cost of living "
141540,"Price of Gas, food and clothing"
141541,We're moving in a direction that strongly opposes those of diverse minorities. This WILL cause issues that could very likely have severe consequences for the country as a whole. If we continue like this I won't be surprised if our country ends up collapsing altogether. 
141542,divisive politics
141543,mental health and border issues 
141544,Government funding 
141545,"democracy,people not being told the truth."
141546,"isreali control over politicians in the u.s ,from president on down,military and financial aid to isreal to support isreali genocide against palestinians"
141547,Division in the country !scared and misinformed Americans 
141548,inflation a single person can't survive working in health care
141550,border control. too many illigals in usa
141551,Border Security
141552,illegal alien invasion
141553,The paying Taxes
141554,Confusing wording - but I'll list a couple 1. Our government becoming a big business-controlled oligarchy. 2. Women's right to choosing what she does with her body. 3. The country's involvement in the Palestinian genocide happening in Gaza. 
141555,I think it's important make the country better 
141557,Donald Trump's Presidency
141558,"I think the most important problems facing this country are partisan media coverage posing as news, lack of good leadership qualities in elected and appointed officials, lack of economic opportunity for the middle and lower classes, lack of common-sense gun laws, disrespect of women, intolerance toward minorities, and lack of environmental protection. I cannot name just one."
141559,Cheating political parties
141560,Middle America isn't anymore. The rich keep getting richer and regular people are having trouble trying to survive. we need to help middle America.
141562,"lack of morality, breakdown of traditional family, turning away from God"
141565,The economy is horrid and the current government leaders have no clue how to fix it. 
141566,BORDER.   CRIME.  DRUGS
141567,"state of the economy, particularly inflation and government spending. Rising prices on everyday goods, energy, and housing have put a strain on families and businesses"
141568,poverty is number 1 !!!!!
141570,Far right policy
141572,Economy; divisiveness;
141573,Government and corporate promotion of wokeness
141574,loss of women's rights
141575,immigration 
141576,"hatred, conspiracy theories "
141577,The enemy within/deep state
141578,our new president and his selections 
141580,"Treatment of our veterans, social security"
141582,Economy/Inflation 
141583,Inflation or the prices rising
141584,"Inflation, and housing cost "
141585,"women's rights, discrimination of lgbtq and groups of color, forcing religious values held my some on all"
141587,"Economy, Border Protection, Foreign Relations"
141588,"economy/inflation, uncontrolled immigration, crime, reverse discrimination/woke culture/hateful liberals, "
141589,Supreme Court bias
141591,"poverty, homelessness, lack of education "
141592,"illegals entering from the southern boarder, cost of food /cost of merchandise home prices "
141594,cost of living (groceries too high and so are senior rentals). 
141595,no jobs
141596,immigration regulation. Aid to countries at war. domestic drig problem. homelessness.
141598,economics 
141599,"racism,people should not be judge according to the color of their skin or religion"
141600,"economy, health care, and schools "
141601,The cost to live is outrageous! Fulfilling my hopes and dreams is very difficult!! I'm trying to have what my parents have and then my kids....their doomed unless they do things differently then my parents did and I and doing.  I am trying to encourage my kids to think about what they want to have in the future and the type of jobs they would need to support that lifestyle.  
141603,immigrants and the boarder 
141604,     CURRENT POLITICAL UNREST
141605,Congress not getting anything done
141606,National Security
141607,"Immigration, DEI, Gang Violence, Taxes/economy, "
141608,we need the borders closed.   
141610,1. Economy 2. Immigration
141611,"class warfare and divisive politics, far too much emphasis on the wealthy and tax breaks rather than helping those in need."
141613,economy.  cost of living
141614,hungry and homeless 
141615,"Inflation, National Debt, Increased Retiring Age, Public Education Ineffectiveness, Youth Mental Health Issues, Social Media Intoxication, etc..."
141616,crisis of mental health - lack of treatment and options for people.
141618,"racism, sexism, potential dictatorship, oligarchs, erosion of the rule of law, TRUMP, MAGA"
141619,Blind Patriotism 
141620,Right Wing Extremism and hatred towards minorities. 
141621,economy money doesn't get what it used to 
141622,"immigration, Inflation (Home Prices) Security, Foreign Policy, Economy"
141623,democracy being destroyed by MAGA
141624,immigration illegals being allowed here
141626,"the economy. grocery, gas and rent prices going up"
141627,"inflation. prices are too high. cost of living is too high. health care is high, child care is high. public schools are just pushing kids through. Amazon is selling and tricking people to buying a bunch of shit we dont need. social media is impacting our youth and bad for mental health. i could keep going. "
141628,"COST OF LIVING - prices are too high on everything, and wages are stagnant. Post-COVID economic recovery has been slow at best, but withers in a cost-vs-income unbalance."
141629,illegal criminals in our country
141630,immigration- illegals coming into our country! 
141632,inflation and our country's debt 
141634,cost of living 
141637,4 horses... the ones associated w the apocalypse
141638,the economy
141639,denocratic backsliding
141640,"borders, economy, getting people off welfare.  these people can work but too lazy. more help for veterans. exterminate serial killers.  i don't want my taxes supporting murderers plus abortionist.  Put God back into the equation and everything else will fit into place."
141642,"Our lack of border security has allowed 1000s of criminals, gang members, and most likely terrorists into our country. This is not to mention the millions of illegal immigrants. "
141643,"inflation, border and law and order"
141644,FINANCES MONEY BEING SPENT ELSEWHERE
141647,climate change the wealth gap poverty peace
141649,Donald Trump is  going to ruin the country as we know it.
141651,Republicans and their ultra conservative ideas. Tge Supreme Court 
141654,"border, illegal immigrants pouring into our country"
141655,"Our borders, economy,"
141656,Illegals flooding into our country.
141657,DIVIDED NATION RIGHT NOW TOO MANY FINGER pointing out ABOOUT STUPID WOKENESS THINGS 
141659,immigration open border
141660,political divide 
141661,Trump and the maga idiots
141662,"Division, no clear vision to unify the country. "
141663,corrupt politicians 
141664,CONCEITED GREED WITH CHIOAS........INFLATION....DIGITAL AI PROBS WITH DOING IT FAIR WITH CITIZENS.......
141665,cost of everything
141666,"Taxes, everyday prices, worker shortage"
141667,the destruction being made by Donald Trump and his team. hes destroying  America and no one is stopping  him
141668,The military-industrial complex and drug industry have too much control over congress and the government resulting in unnecessary spending of tax dollars.  
141671,"High cost of living, especially for young people."
141673,Our government spending is out of control
141674,"Inflation and cost of living, including housing, transportation, and groceries. "
141675,Our biggest problem is the Trump presidency. I sincerely hope our Democracy survives.
141677,"helping other countries, not helping Americans but giving it to illegal immigrants, not supporting Americans to the fullest "
141678,"Illegal immigration, crime, inflation, world image"
141680,housing cost
141681,inflation keep in control 
141682,racism there is so much hatred in this country for people of color. the white people feel entitled to everything now they are saying they are the aggrieved race. now the white supremacy groups are emboldened 
141683,illegals inflation wars
141684,"imbalance in the economy, debt is higher than income at present "
141685,don't know what to write 
141686,Homeland security 
141687,misinformation and the integrity of political system
141688,"economic, climate control, legal system, politics "
141689,Illegal emigration 
141690,"Many, but to name one would be to re-gain respect and peace across the world"
141692,taxes and high cost of living 
141696,deeply divided country
141698,Cost of living (inflation): Electric 2x from 4 years ago; groceries up 50%; gasoline up 90%.
141699,cost of living too expensive
141700,poverty and us not having control over big business being in American and not overseas
141701,the economy is horrible 
141702,Maintaining a republic
141703,"Economy, Illegal Immigrants, Crime and Federal Govt is way too big."
141704,inflation - food and interest rates 
141705,GREED AND POWER HUNGRY INDIVIDUALS 
141706,the economy - can't afford to live . food is scarce expensive 
141707,"the open borders, gas prices, food prices, cost of living"
141709,"Immigration. financial burden, social services overwhelmed."
141710,economy and inflation
141711,disinformation from media
141712,Right to privacy
141713,"I'm not good with terminology like my husband is but I'll explain in the best way I think. Our economy and the price of living, when it comes to food, homes, taxes, vehicles, everything has drastically gone up since Biden. I don't want to hear libs say it happened with Trump when his last year we had a world wide pandemic. racism is the worse it's ever been since back in the day. not all, but most black people believe we owe them something today because of how their ancestors were treated. The racial divide the media puts out there for them to hate white people and to act like they're so much better. government assistance. There is no incentive to work when Shanaynay from Baltimore has 4 kids and no job and can live on sections 8 and $1500 in food stamps a month using our tax dollars. "
141714,healthcare..child care..war
141715,"high prices in most areas , food, gas, rent, housing etc."
141716,Economy - food and grocery prices are too high.  Inflation is hurting middle to low income families.
141718,america's economy
141719,poverty
141723,Corporate profits
141724,Inflation and global warming
141725,"Inflation, Climate change, Abortion, Pay equality"
141727,woman's rights women should be able to make their own decisions 
141728,"tariffs, taxes, wages"
141729,"High cost of living. People are having to choose between food for their families or a roof to go over their head. Gas is high, Insurance is high. Everything that people need in order to make the money for the high cost, is high. We are drowning as a nation."
141730,"How to intelligently undo the damage done by the Biden administration by their fiscal, immigration, energy etc. policy"
141732,excessive money in politics
141733,project 2025 climate change 
141736,National Debt. Congress allows too much spending that equals corruption
141739,rents and purchasing homes are too costly...
141741,"safety, immigration, economic opportunities, health care access "
141742,"la economia, en los aumentos de todo, la gasolina variando el precio, la renta de vivienda, la inducumentacion ver tantas personas sin trabajo, el robo, la delincuencia, el odio racial, mucha violencia."
141744,"The Conservative Supreme Court, abortion rights, the economy "
141745,how they're dealing with immigrants and deportation 
141747,Donald Trump as President
141748,"illegal ailans, money, corruption, big business, stupid ideas"
141749,"Housing affordability, gas prices,food prices"
141750,lack of ethics and respect for humans
141751,partisan gridlock
141752,"Debt levels, aging population, "
141753,human rights lack of rights for most people with the exception of white males 
141755,Trump he wishes to be a dictator
141756,the threat to our democracy
141757,inflation and rising prices
141758,extreme weather events
141759,"economy and cost of living, despite inflation rate being down the price of goods and services have doubled in some cases and business are using this as a way to drive record profits."
141760,"Economy, Unemployment, and crime"
141761,the polarization of the political system 
141762,illegal Border crossings
141763,maga and the trump-shits
141764,"economic stress, housing prices, taxes, people cant afford things while others are freeloading and costing others livelihood we give away too much money to people who  are having multiple children and not paying for them or their mistakes "
141766,Dismantling of democracy. The buildup toward autocracy/oligarchy. Ruling by the few over the many
141767,Inflation; lack of rigor in schools; decline in health and communication skills for youth
141769,problem is Trump
141770,"Donald Trump, JD Vance, Trump's proposed Cabinet members, WW3"
141771,"The Economy!! The Price's on Everything and the worst thing is that it takes two people to be employed, it's to hard to actually make end's meet working paycheck to paycheck. Then you have to decide on having dinner on the table, with all the utilities you have to pay or the medical attention you need. Not to mention all the Taxes on everything have skyrocketing!!!!"
141772,The division and hateful behavior of the American people. 
141773,Education and the lack thereof - people are using less critical thinking and more consuming of quick and probably wrong information
141776,"Financial stability for the every day person. Ex housing, food prices/quality etc"
141777,wealth gap between CEOs/management and working class people
141778,"At this point I think the biggest problem is that political parties have lost the objective: they care more about winning and less about policy. Over and over again we see parties put themselves and their members ahead of country or even good policy. Political parties are the biggest problem. Cult of personality is closely related. After those two, our biggest problem is the rolling back of social justice policies - rolling back protections and freedoms for Americans rather than protecting or expanding freedoms. "
141780,"Border, Economy and deficit"
141782,USA ours peoples. 
141783,la seguridad 
141785,Healthcare access
141786,political polarization and misinformation 
141787,inflation too many high prices and price fixing
141788,"Right now, the biggest problem facing this country is Donald Trump.  He will have unbridled power and looks upon himself as a king/dictator. He wants to appoint loyalists to the most important positions in the country for which they are not qualified, which is dangerous. I think the lack of abortion access and related health issues for women is the second most important problem.  Trump will harm this country for years to come in ways that we haven't even imagined yet."
141789,no unity. the U S is severely split between Republican and Democrat. like a terrible civil war may be coming.
141790,Trump is the biggest problem and those idiots that voted for him.  Neither democrats nor Republicans think rationally. 
141792,The division within the country over political parties and their agendas
141793,high cost of living
141794,Currently the most important issue is the rising costs. This primarily hurts the poor and is making it difficult to live in the lower and middle class.
141795,Woke movements 
141797,"Inflation, border security, energy independence, crime."
141798,"immigration, moral decline, inflation, corruption in government "
141799,We have a huge immigration problem.  Our lack of security at the border is encouraging record high rates of illegal immigration 
141800,"immigration, supporting those here illegally "
141801,Political polarization. It seems we live in two different countries. 
141803,"Womens reproductive rights,  "
141804,"inferstructure- roads, bridges,"
141806,climate change and the increase in intensity of storms
141807,nada en espaÃ±ol 
141808,"Healthcare, Geopolitics, housing costs, infrastructure failing"
141810,"inflation, illegal immigration, endless support of wars, supporting World economic forum, We need term limits for all politicians, Judicial system has become Weaponized, needs to be laws against lobbying. "
141811,inflation makes it impossible for seniors to truly retire
141813,"illegal immigrants, debt, taxes, transgender "
141816,inflation cost of living
141817,"corrupt political leaders, border security, increased cost for health"
141818,"Racism, cost of living, everything is so expensive,  "
141820,immigration and womens issues
141821,Donald Trump!!!
141822,poverty and the price of housing being so high no one can afford to live anywhere
141823,"Economy, inflation really got out of control[CHAR(10)]Border, same thing, been a problem for too long, something has to be done to improve it"
141824,"High cost of living (groceries on the top of the list), taxes (property on the top of the list), interest rates (credit cards on the top of the list), immigration (out of control), crime (petty, thievery), lack of unity."
141825,money in politics
141826,treat to democracy and economy/inflation
141827,unity education economics 
141828,Sexism & Racism  
141829,border with the illegals coming in not properly don't know what more you want here 
141830,
141832,"MAGA, Trump embarrassing to have an idiot "
141833,"Secure Border & Inept Congress, "
141834,economy and taxes 
141835,illegal aliens economy crime
141836,"Reproductive rights, climate change, polarization, lawlessness, Supreme Court ethical and moral code of behavior"
141838,inflation of cost of living
141839,poor leadership
141840,lack of jesus christ and christian values
141842,MIGRACION PONER REGLAS PARA LA MIGRACION
141843,divide / lots of misinformation...democracy
141844,"economy, people can't afford to live"
141845,"economy, illegal immigration, DEI, woke-ism, "
141846,concern that our democratic government will be subverted
141849,"I do not like who our president elect represents. I wanted someone who is well respected, educated, and is well-spoken, thoughtful, and respectful. Trump has made a mockery of what our country's leader should embody. "
141852,"Homelessness, its hurtful that we can't build enough affordable housing for people to live. We should not have people living on the streets begging for food at end of streets. This is America, make it great so you claim."
141853,Democracy ending
141854,"Inflation, gun violence, affordable healthcare, climate change, quality of K-12 education, and the ability for Dems and Reps to work together "
141855,corruption and incompetence of MAGA people
141856,National Security
141857,open borders and the justice system need to uphold the law and constitution 
141858,la economÃ­a esta muy bajo y todo esta muy caro
141861,The concentration of wealth at the top.
141862,"inflation, can't afford anything anymore "
141863,cost of living is insane with inflation 
141864,THE BORDER-ILLEGAL IMMIGRANTS
141865,economics because it's important 
141869,"economy-inflation, immigration, democracy with new president, cost of housing"
141870,"Inflation, AI, climate crisis, drugs, terrorism, "
141871,Political Division 
141872,"The division between political parties is so extreme, politicians need term limits, obesity and mental health crisis"
141873,"Cost of living-rising price of homes, health care, groceries"
141874,Illegal immigration
141875,the economy
141876,The Border
141879,migrants economy impending war
141880,"Gender Confusion,  Racism , Social media influencers"" """
141881,loss of our liberty/independence
141882,Wealth inequality
141883,"Inflation, Foreign Affairs and the Border"
141884,"Abortion, teaching children about being gay, drug use, crime,"
141885,SK
141886,"imagined social problems driving policy and attention, taking resources and eyes away from hostile foreign nations"
141887,corrupt mainstream media
141890,inflation high hurting seniors and low income people. 
141891,inflation and the cost of living on the middle and lower classes
141892,economy/inflation
141893,special interest groups
141894,Fascism/Authoritarianism
141895,Climate Religion 
141897,inflation - prices have doubled and tripled this will lead to famine
141898,"Foreign policy, government spending, inflation and the border"
141899,I believe that the open border has caused so many people to enter that our economy is being ruined because of it. I do believe it should be easier to enter legally and become a citizen. But to give people already breaking the law funds while we have so many people that served this country living in the streets
141901,"Infatuation, the border, security and values"
141902,moral decline number of Americans who no longer recognize the reality of God. no longer one nation under God
141903,Future changes that may directly impact education programs and concerns about dealing with global climate change.
141904,economy and immigration
141905,"greed many higher members of senate and congress and even higher up have lost touch completely with how we common people (whom they are supposed to represent) actually gave to live. they have government cars, gas accounts, expense accounts that we pay for and still manage to make more, more money. "
141906,Misinformation!!
141907,1.political division 2. immigration 3.the economy
141908,anxiety and depression and the way people are dealing with it. 
141909,inflation with home means higher taxes
141911,ILLEGAL IMIGRATION
141912,inflation is a concern that needs to be addressed.
141913,"Economic, debt, involving wars non of YS business, illegal immigrates"
141914,"Homelessness, Human Trafficing, Healthcare, SSI and Medicare"
141915,equal rights for everyone
141916,polarization - division in society
141918,Political divisiveness
141919,misinformation leading to division of the people
141920,getting rid of MAGA movement and putting Trump in prison
141924,economy/cost of living
141928,gun control
141929,economy things are very expensive
141930,economy and open borders
141931,racismo y prejuicio. mucha diferencia en el color raza nacionalidad de una persona. Los ticos cada dÃ­a mÃ¡s ricos los pobres cada dÃ­a mÃ¡s pobres
141932,all of our basic rights being stripped away by maga 
141933,"The two-party political system forces people to choose candidates that they only agree with on one or two issues that are important to them. They are forced to support other positions the candidate from that party supports even though the voter may not agree with it because there is no other choice. Also, the Electoral college does not count every person's vote equally.  "
141934,"Immigration. no vetting of immigrants, use of government money to take care of them and give them benefits.  Fear of terrorists coming into our country"
141935,International relations
141936,"I believe that people are angry, stressed,over stimulated by social media,and lacking direction."
141937,"Housing, health care,economy."
141938,"Drugs, homelessness, teaching young kids about LGBT, inflation, crimes."
141939,out of control Politicians and Supreme Court Justices
141941,1. Lack of a national policy for advancing progress in space exploration. 2. Lack of a coherent policy to address fundamental research in science to understand our place in the cosmos and cope with near Earth asteroids and the threat they present. 3. Lack of leadership and vision in helping to establish humanity as an interplanetary species. 4. Thhe National Debt crisis. 5. Lack of effective border control. 6. Ineffective policy for dealing with addictive drugs.
141942,Dissension.  The MAGA movement has caused our country to be so divided to the point people have hatred for each other.
141943,Getting that Border closed off and getting the illegals out that got in the wrong why. Harris needs gone and Biden has NO business running this country. He is a risk to people and there family's lives no matter what group Dems or Rep . I know he has a problem and maybe he cant help it that's why he has to be dropped as President right now before he puts us into a nuke war. Obama needs out to for he is the one who told other country's to come hear and we take care them. Plus we dont need a gay President we need a nuturl one.
141946,Trump filling cabinet positions with unqualified people
141947,inflation.
141949,"education k-12 , needs to be improved through better working conditions, smaller class size and support of the efforts by the good teachers, retirement of the old no longer interested, America would benefit by a space program commitment to education. Money and resources of equal nature would be a step in the right direction. Frankly, you can contact me for a description of my 20 year program."
141950,"Division, reproductive rights, equality"
141951,"open borders, too many people entering and not being vented.do not know who these people are."
141952,"Climate change, energy transition, poverty, gun violence, racism, transphobia, homophobia, misogyny... "
141953,"economy, employment and race relations "
141954,The threat that Donald Trump poses to the future of democracy and the future of our country
141955,Donald Trump is the biggest problem facing our nation 
141957,Aiding other countries more than/before our own citizens 
141958,Gas prices in california are off the charts. They keep raising minimum wages which keeps increasing the cost of everything else
141959,division among citizens
141960,"economy, inflation "
141962,unchecked immigration and the federal reserve
141965,Inflation. Cost of every day goods have increased too fast.
141966,"economy, future of AI, and role in global infrastructure "
141967,imagration
141969,The lack of discipline  & direction for young people & the resultant lack of respect for authority.
141970,ECONOMY the unstable job market and looking at government layoffs
141971,Division in America 
141972,"higher prices for goods, and salaries are not rising to cover them"
141973,"border, economy, inflation"
141975,False information that misrepresents facts.
141976,Corruption of democracy from Russia and Christian Fundamentalists
141977,"I think that most people in this country would agree that our economy is failing. I think that the root of this issue is big corporations. On a global level, the most important issue is climate change."
141978,maga movement is rolling back protections for minorities
141979,"Border, Fentanyl, inflation, Voter I.D, Schools, woke military  "
141980,Cost of living/inflation
141981,the biggest most important problem facing this country... trump. this country is about to be dismantled.
141982,DONALD TRUMP    HE SHOULD BE HELD ACCOUNTABLE FOR HIS ACTIONS. EVERYONE SHOULD QUIT KISSING HIS ASS. HE  IS A TERRIBLE PERSON. HE SHOULD NOT BE LEADING OUR COUNTRY
141983,Division. This country is separating people because of inhumane choices.
141984,"climate change/sever weather conditions worsening, racism and sexism are the worst issues. along with corporations being treated as people and we are not caring for our people like we should. the American people are not getting the healthcare they deserve or the support they need from their government. our population is aging and there is going to be an issue with caring for them if we don't start making changes. "
141986,abortion rights
141987,border and inflation 
141988,grocery prices are high and illegals
141989,"Losing Women's rights, Women's Healthcare (abortion rights), Anger and Hate"
141990,Sexism and racism
141991,"Economy - inflation, cost of housing, food and gas prices are crippling"
141992,imigration letting people cross the border
141993,"environment, healthcare, loss of freedom/rights "
141994,PEOPLE NOT STICKING TOGETHER
141995,we are one of the wealthiest nations in the world! yet Americans are struggling to pay rent and basic needs and a lot of us are working more than 40 hours a week. 
141997,wealth disparity
141998,Illegal immigration
141999,"1984 is here. i have no idea of the long-term implications, but the masses seem to be thououghly enjoying themselves. "
142000,Debt. Ending forever wars. Illegal immigration.
142001,"immigration, inflation"
142002,the biggest problem facing this country would be the economy because people are struggling to at their bills. 
142003,"Racism, we are a single species on this planet "
142004,Economy (cost-of-living not in sync with wages)
142006,Abortion/ War/ LGTBQ environment
142007,Inflation - most Americans are faced with the struggle to provide because the cost of living is higher than the wages earned.
142008,The economy and the border crisis
142009,Lack of following God/Jesus's will. Love God and others as yourself. That would sum up all problems
142010,immigration concerned about the safety for our country
142011,I believe the biggest problem is the vulnerability of our democracy; I don't think most people fully understand the current threat.
142012,SK
142013,Gun crimes-criminals can too easily obtain and use guns which are often semi-automatic causing more deaths.
142014,"Social justice and economic inequality for many Americans (access to a decent living) includes:health care, housing, education, healthy food, social supports)"
142016,"Disunity, too much division, not working together on problems."
142017,Inflation is too high 
142019, the economy of our nation is a concern to me
142020,"misogyny, climate, inequality,"
142021,Getting Donald Trump out of politics
142022,border crossing
142023,"illegal immigration, spending and to much regulation "
142025,Inflation & the Economy
142027,the out look of the budget
142028,Division of citizens along political lines
142031,Human rights are being threatened for many disadvantaged groups
142032,immigration and inflation 
142033,immigration and high prices all around
142034,Racist people
142035,"immigration, economy, big government "
142036,"racism,  is causing alot of division even with law enforcement. people not feeling safe"
142043,environmental issues 
142044,I don't care about people of color
142045,Immigration as illegal with the criminal background are the trouble makers 
142046,Inflation and National Debt
142047,"Illegals, inflation, social security"
142048,wealth inequality 
142049,"Climate Change, income inequality, access to healthcare"
142051,debt lack of doing  the right things lack of will  to do the right things  to improve  voters lives 
142053,"political negativism ,economy,suprerme court bias, loss of respect for politics in general"
142055,middle class has it way too hard to live.
142057,Economy and rising prices.
142059,extreme division between parties. Parties seem more interested in power than doing the people's work/making wise decisions on behalf of the US people
142060,immigration and economy 
142062,how polarized the parties are 
142063,Border Security 
142065,PRESIDENT  47 MIGHT BECOME A DICTATOR THAT I HEARD SEVERAL TIMES IN HIS RALLY. 
142066,anti corruption. drugs and crime. health. 
142067,"economy, rascism, political differences and immigration rights."
142068,"The inequalities in our society when it comes to things like race, gender, orientation, or religion"
142069,"Donald Trump.  I'm terrified for what he will do to this country, the rule of law...just about everything."
142070,"illegal immigration, economy, gov spending, wars"
142071,Economy needs a great deal of improvement
142072,return to trumpism will ruin our democracy
142073,
142075,health insurance 
142077,presidential election radical selection of officers 
142078,economy. prices are ridiculously high on most things. 
142079,attack on free speech
142080,"Immigrants, crime, drugs, high prices, homeless, seeding democracy outside of US"
142081,Ultra conservative MAGA republicans that want to strip women's rights.
142082,"female reproductive rights (abortion), weakening the fundamental pillars of democracy, the economy, climate change, national debt"
142083,"the absurdity of paying tens of thousands of dollars to give your kid a liberal, socialist, anti-American education."
142084,The United States of America stepping aside from being the world's leader
142085,"toxic food, poor healthcare, education system is failing, inflation is high, salaries are not increasing at the same rate of inflation"
142086,"economy- high inflation, high interest rates, lack of jobs paying enough to compensate for the high cost of living"
142087, Financial disparity among various heritage groups in the United States. 
142089,"inflation,immigration,credit card rates,poor tax dollar spending,living pay check to pay check"
142090,Open Borders- unknown individuals crossing the border with criminal records.
142091,"economy, inflation, woke movements"
142092,horrible economy. everything is rising in cost.. instead of helping the US other countries are being helped. money should stay in the USA.. help your country first.. to many people struggling 
142093,The working class is overlooked in the eyes of government 
142094,"border, economy"
142095,We need single payer health care
142096,Christian Fundamentalists 
142097,birth control;  religion;  guns;  aborshone; (I can't spell)
142098,"trump, fundamentalist fascio-Christians, project 2025, Supreme Court, police fetishism, loss of rights"
142099,Politically polarized. The truth no longer matters. It's dangerous to the country 
142100,disinformation on social media
142101,not enough love brotherhood or sisterhood too much separation 
142102,"finances, taxes inflation "
142103,Illegal immigration!  there's more
142104,"roe vs wade, economy, immigration, "
142105,"economy, racism"
142107,Illegal immigration.
142108,"corruption, racism, capitalism "
142109,illegal aliens and the Border Wall
142110,income inequality
142111,Border security and Economy
142112,inflation - cost of living
142113,"hate, political divide"
142114,very divided on everything
142115,illegal immigrants that have flooded into our country in the last 4 years
142116,"immigration, Border security,"
142117,"National debt is out of control, no way we can ever pay it down"
142118,everything its really a big ass mess
142119,SK
142120,"the cost of living is very, very expensiveâ€¦income levels are so low, we can barely keep a roof over our headsâ€¦"
142121,"stagflation - the growing cost of living plus the stagnation of wages increasingly makes it difficult for the next generation to live sustainably, affordably, and in a manner that allows them to start thinking about their next generation."
142122,Donald Trump will destroy the economy once he takes office with all the unqualified people he is putting in his cabinet period.
142125,Economy & Inflation 
142126,violence
142127,"Economy, To high of prices"
142128,Immigration    Economy  
142129,trust in government 
142130,the new administration 
142131,international security and economic policy 
142132,SK
142133,Illegal aliens being taken care of before American citizens
142134,Politicizing of everything
142135,government spending and unsecured borders
142136,SK
142137,ignorance about the implications of selfish actions
142138,"Political division where there appears no willingness to compromise; Perception of loss of rule of law, dictatorship; Lack of support for NATO, Ukraine in coming administration; Likelihood of federal ban on abortion; OVERALL: an extreme swing to the far right in government administration and the attempts to thwart Constitution and individual rights"
142139,the people in power have all forgotten that their positions are in SERVICE to their constituents. all of them - Dems and GOP are too busy playing games with one another to ensure justice for all.
142142,inflation is being falsely reported . it is much higher 
142143,people in charge have no idea what is going on with people with limited income.
142144,Racism against immigrants & all people of color.
142145,economy with lack of affordable housing and cost of food
142147,Inflation and cost of living
142148,Treatment of people who aren't white men
142150,illegal immigration
142152,biden economy and border
142153,The Economy-prices of food/gas/products are too high; the U.S. Border needs to be shut and illegal trespassers need to be deported especially the criminals. Stop sending money to other countries since many U.S. Veterans and disabled U.S. citizens need the financial help. Give Welfare to Americans that are in need NOT to illegals who broke the law to enter the U.S. Restructure the bureaucracy in Washington to stop growth of the Government.
142154,social mediaâ€¦ Social mediaâ€¦ Social mediaâ€¦ There are no consequences for children or even Adults.. i'm [REDACTED AGE] and I'm glad I'm at the end of my lifeâ€¦ it's a Very sad worldâ€¦.
142155,Amos/Disinfo pushed on media. 
142160,"border crisis, illegals coming in, Inflation, price of groceries"
142161,"racism, military expenses and media "
142162,President-elect Donald Trump
142163,we are  economically divided The coo of living is ridiculous 
142164,"our democracy, the unqualified people who are now in charge."
142165,cost of living 
142168,"Economy - affordability of basic necessities in life (cost of shelter, food, clothing)"
142169,Economic Inequality
142170,Illegal border crossings of the southern border
142171,Political division
142172,the economy is horrible. people can barely make ends meet. prices are too high
142175,illegal immigration
142176,"Racism it impacts how people are treated. Services, available jobs, & Healthcare are withheld based on a person's race or perceived ethnicity. "
142177,"Immigration, and the lack of enforcement"
142178,to much goverment
142179,wages homeless folks
142180,the illegals bringing drugs into america
142182,"Economy, homelessness, immigration "
142183,"Taxes, Food prices, Housing, Schools, Jobs, High priced Health Insurance"
142187,We do not value education. 
142190,"Crime guns, drugs"
142191,climate change 
142192,"border security, high prices"
142193,Lack of civility and working together.
142194,elected president's views on everything. 
142195,The proto-fascist MAGA movement and the general apathy of the electorate.
142196,The division between Americans 
142198,"cost of living, rates of everything is to hight, unmanageable "
142200,Inflation is causing people to not be able to afford to live.
142201,"there is a problem with communication, information, and education for all people. They do not know how to read food lables. "
142203,"Violence.  School shootings, city street crime, mental health issues"
142206,here from no body
142207,corrupt Congress members and a felonious president-elect
142209,The Economy and The Border.
142210,woke in schools and some churches
142211,ILLEGALS ENTERING THE US
142212,the personal vendetta of the Democratic Party against President Trump
142213,"healthcare, job security, social security, debt, college costs, housing market "
142214,Racism and hate
142215,"inflation, safety, immigration, boarder control, "
142216,health care  inflation 
142217,"Economy, foreign affairs,"
142218,IMIGRATION / ECONOMY / CORRUPTION / BIG PHARMA / BIG TECH 
142219,Hate and divide
142220,Execution/implementation of President Trump's Project 2025
