respondent_id,response_text,human_code,human_code_label,notes,llm_code
351238,"Economy. Well most people belive the economy is bad so they do a poor job in explaining the economy. They sit and watch fox new and they tell them its bad. I ean its not perfect but its not that bad. So I would suppose its the information surronding the economy/AO/ Because people don't trust it they think that its not doing well. So when there is no aith they act differently. pay 1,300 for taylor swift ticket but complain about a dozen eggs/AO/ No",1,Economy,,Economy
312312,Probably right now is the cost of housing and living going up. /AE/  It's impossible for young couples to buy a house. Unless they are making bank it's impossible for them to buy a house and afford cost of living.  /AE/ No,1,Economy,,Economy
220464,a lack of unity.....divisiveness ,4,Social Issues,division,Social Issues
366126,"politica; no esta dirijida al bien pubico, lo esta dirijifo a otros intereses",3,Politics/Democracy,,Politics/Democracy
141928,gun control,5,Crime,,Crime
140350,Most people I know including myself are struggling financially so I would say economics is the main topic ,1,Economy,,Economy
140390,Social divide and racism ,4,Social Issues,,Social Issues
223577,"Fascism, authoritarianism, lack of action on climate crisis, wealth inequality and wealth concentration.",3,Politics/Democracy,multiple problems,Politics/Democracy
140829,People not making enough to even be middle class ,1,Economy,,Economy
140266,"It's not right what this man is prioritizing when he gets sworn in. Other countries don't fear him so much. We are seeing inflation from past tariffs and the sink hole he put us in financially.  I truly worry with Ramaswamy and Musk being in charge of what seems to me, dismantling our government as we know it. This country is in for a rude awakening with the wool all of these men just conned the people to believe they promise.  I truly worry about our freedom to vote again.",3,Politics/Democracy,,Politics/Democracy
142528,"need to focus more on our country, quit being the global babysitter",8,Foreign Policy,,Foreign Policy
204824,Reproductive Freedom and Health Care for Women,2,Healthcare,,Healthcare
324914,economy- its bad everything everything is too high gas food and cost of living,1,Economy,,Economy
141023,women's rights,4,Social Issues,,Social Issues
140744,"liberalism is a disease that was slowing killing our coutry, but it seems to be on the mend. ",4,Social Issues,,Social Issues
140086,"Inflation, Wage gap, Movement to the far right, authoritarianism ",1,Economy,multiple problems,Economy
349864,"I think the people is division, that people are divided, on the national levelof the government, that is the major problem",4,Social Issues,division,Social Issues
228797,dividedness between citizens,4,Social Issues,division,Social Issues
140079,the inability of the congress to work together ,3,Politics/Democracy,,Politics/Democracy
232549,"I think there is an extreme divide in the beliefs people hold and some extreme constitutionalists based on religion. I remember learning about the separation of church and state in grade school and it feels like the government has been the exact opposite of that. There's problems on both sides (please why can't we get away from the bi-partisan party options) but when it comes to basic, common sensical human rights, people have God in mind and/or their personal beliefs instead of leaving it up to the individual. Unfortunately many of these people hold such vile and violent opinions it's disheartening. I understand our country was built on certain ideals but thankfully we have toilet paper (or wait, did electricity come first?) these days and no longer have to write with a feather pen on scroll paper so why is it so important to some people that our ideals stay in the past?",4,Social Issues,,Social Issues
